Section #,Section,Field Key,Label,Required Today,Input Type,Options,Keep / Remove / Edit,Owner Role (LO / LOA / MLP / Proc),MLP Verifies? (Y/N),Notes
1,Loan Snapshot + Investor / Product,dt,Date,Y,input,,,,,
1,Loan Snapshot + Investor / Product,cln,Client Last Name,Y,input,,,,,
1,Loan Snapshot + Investor / Product,ln,Loan Number,Y,input,,,,,
1,Loan Snapshot + Investor / Product,pur,Purpose,Y,pill,Purchase | Rate/Term Refi | Cash-Out Refi,,,,
1,Loan Snapshot + Investor / Product,pp,Purchase Price ($),Y,input,,,,,
1,Loan Snapshot + Investor / Product,cop,Cash-Out Proceeds ($),Y,input,,,,,
1,Loan Snapshot + Investor / Product,cor,Cash-Out Reason,Y,input,,,,,
1,Loan Snapshot + Investor / Product,amort,Amortization,Y,pill,Fixed | ARM | I/O ARM,,,,
1,Loan Snapshot + Investor / Product,fip,Fully Indexed Payment Used?,Y,yn,,,,,
1,Loan Snapshot + Investor / Product,qfa,Qualified at Fully Amortized?,Y,yn,,,,,
1,Loan Snapshot + Investor / Product,la,Loan Amount ($),Y,input,,,,,
1,Loan Snapshot + Investor / Product,av,Appraised Value ($),Y,input,,,,,
1,Loan Snapshot + Investor / Product,ltv,LTV (%),Y,input,,,,,
1,Loan Snapshot + Investor / Product,cltv,CLTV (%),Y,input,,,,,
1,Loan Snapshot + Investor / Product,dscr,DSCR Ratio,Y,input,,,,,
1,Loan Snapshot + Investor / Product,st1,Subject Property Address: Street,Y,input,,,,,
1,Loan Snapshot + Investor / Product,st2,Subject Property Address: Street 2 (optional),Y,input,,,,,
1,Loan Snapshot + Investor / Product,city,Subject Property Address: City,Y,input,,,,,
1,Loan Snapshot + Investor / Product,zip,Subject Property Address: Zip,Y,input,,,,,
1,Loan Snapshot + Investor / Product,state,Subject Property Address: state,Y,input,,,,,
1,Loan Snapshot + Investor / Product,pr,Investor / Product (select; grouped Class A/B/C),Y,select,Driven by PR[type] list,,,,
2,Borrower & Entity Details,dArt,Docs Collected: Articles,Y,checkbox (multi),,,,,
2,Borrower & Entity Details,dOA,Docs Collected: Operating Agreement,Y,checkbox (multi),,,,,
2,Borrower & Entity Details,dEIN,Docs Collected: EIN,Y,checkbox (multi),,,,,
2,Borrower & Entity Details,vest,Vesting,Y,pill,Individual | LLC | Trust,,,,
2,Borrower & Entity Details,llcN,LLC Name,Y,input,,,,,
2,Borrower & Entity Details,llcS,State of Formation,Y,input,,,,,
2,Borrower & Entity Details,llcR,Registered in Property State?,Y,yn,,,,,
2,Borrower & Entity Details,llcO,Ownership %,Y,input,,,,,
2,Borrower & Entity Details,llcA,Active on SOS?,Y,yn,,,,,
2,Borrower & Entity Details,llcM,Other Members?,Y,yn,,,,,
2,Borrower & Entity Details,llcSg,All Signed?,Y,yn,,,,,
2,Borrower & Entity Details,llcPG,PG Applicable?,Y,yn,,,,,
2,Borrower & Entity Details,fti,First-Time Investor?,Y,yn,,,,,
2,Borrower & Entity Details,prv,Primary Residence Verified?,Y,yn,,,,,
2,Borrower & Entity Details,lrf,Living Rent-Free?,Y,yn,,,,,
2,Borrower & Entity Details,jobChg,Plan to retire or change jobs in next 90 days?,Y,yn,,,,,
2,Borrower & Entity Details,cit,Citizenship,Y,input,,,,,
2,Borrower & Entity Details,cv,Complete Vesting,Y,input,,,,,
2,Borrower & Entity Details,ftb,First-Time Homebuyer?,Y,yn,,,,,
3,Subject Property Details,pt,Property Type,Y,input,,,,,
3,Subject Property Details,hoa,HOA?,Y,yn,,,,,
3,Subject Property Details,hoaA,HOA Amount ($/mo),Y,input,,,,,
3,Subject Property Details,rType,Rental Type,Y,pill,Long-Term Rental | Short-Term Rental,,,,
3,Subject Property Details,strS,STR Data Source,Y,input,,,,,
3,Subject Property Details,strC,STR Confirmed?,Y,yn,,,,,
3,Subject Property Details,r1007,1007 Rent ($),Y,input,,,,,
3,Subject Property Details,heT,Product Type,Y,pill,HELOAN (Fixed) | HELOC (Revolving),,,,
3,Subject Property Details,occ,Occupancy,Y,pill,Primary | Second Home | Investment,,,,
3,Subject Property Details,l1Bal,Existing 1st Lien Balance ($),Y,input,,,,,
3,Subject Property Details,l1Rate,1st Lien Rate (%),Y,input,,,,,
3,Subject Property Details,l2Amt,Requested 2nd Lien Amount ($),Y,input,,,,,
3,Subject Property Details,lPos,Lien Position,Y,pill,1st Lien | 2nd Lien,,,,
3,Subject Property Details,drawP,Draw Period,Y,pill,3 Year | 5 Year | 10 Year,,,,
3,Subject Property Details,initDraw,Initial Draw % of Line,Y,input,,,,,
3,Subject Property Details,subord,Subordination Required?,N,yn,,,,,
3,Subject Property Details,lst6,Listed in Last 6 Months?,Y,yn,,,,,
3,Subject Property Details,vac,Vacant?,Y,yn,,,,,
3,Subject Property Details,vPlan,Lease-Up / Marketability Plan,Y,textarea,,,,,
3,Subject Property Details,noo,Non-Owner Occupied?,Y,yn,,,,,
3,Subject Property Details,rur,Rural?,Y,yn,,,,,
3,Subject Property Details,rAcre,Acreage,Y,input,,,,,
3,Subject Property Details,rComp,Rural Comps?,Y,yn,,,,,
3,Subject Property Details,flood,Is the property in a flood zone?,Y,yn,,,,,
3,Subject Property Details,solar,Solar panels on property?,Y,yn,,,,,
3,Subject Property Details,lava,Is the property in a lava zone?,Y,yn,,,,,
3,Subject Property Details,unpermit,Any unpermitted additions or alterations?,Y,yn,,,,,
3,Subject Property Details,addlLiens,Additional liens on the property?,Y,yn,,,,,
3,Subject Property Details,lienDetail,Lien Details,Y,textarea,,,,,
